"Aasta","Tegevusala","Kivisüsi, tuhat t","Koks, tuhat t","Põlevkivi, tuhat t","Freesturvas, tuhat t","Tükkturvas, tuhat t","Turbabrikett, tuhat t","Puitkütus (väärindamata)*, tuhat tm","Küttepuud, tuhat tm","Puiduhake ja -jäätmed, tuhat tm","Puiduhake, tuhat tm","Puidujäätmed, tuhat tm","Puidubrikett ja -graanulid, tuhat t","Maagaas, mln m³","Vedelgaas, tuhat t","Raske kütteõli, tuhat t","Põlevkiviõli (raske fraktsioon), tuhat t","Kerge kütteõli ja diislikütus, tuhat t","Diislikütus, tuhat t","Autobensiin, tuhat t","Lennukikütus, tuhat t","Põlevkivigaas, mln m³","Biogaas, mln m³","Muu biomass**, tuhat t","Jäätmekütus, tuhat t","Bituumen, tuhat t","Määrdeained, tuhat t","Elektrienergia, GWh","Soojus, GWh"
"2012","arvutite, elektriseadmete ja transpordivahendite tootmine",0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.1,0.7,0.6,0.1,0.1,4.6,0.1,0.0,0.2,2.6,1.3,1.0,0.0,0.0,0.0,0.0,..,0.0,0.1,185,105
"2012","Mööblitootmine",0.2,0.0,0.0,0.0,0.0,0.0,65.1,0.8,64.3,44.8,19.5,1.2,4.1,0.4,0.0,0.2,1.4,1.1,0.5,0.0,0.0,0.0,0.0,..,0.0,0.0,70,125
"2012","Muu tootmine",0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.1,0.1,0.0,0.1,2.1,0.2,0.0,0.3,4.2,3.7,0.6,0.0,0.0,0.0,0.0,..,0.0,0.1,34,39
"2012","Elektrienergia-, auru- ja kuumaveevarustus",0.5,0.0,12534.7,150.4,6.3,0.0,1625.0,8.7,1616.3,1447.0,169.3,1.5,298.2,0.0,0.5,46.0,5.5,1.8,0.9,0.0,909.7,5.2,5.3,..,0.0,0.1,1411,207
"2012","Veevarustus ja kanalisatsioon",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.7,0.7,0.4,0.0,0.0,1.7,0.0,..,0.0,0.0,103,19
"2012","Jäätmetöötlus",0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.5,0.6,0.0,0.6,0.0,0.9,0.0,0.0,0.0,6.6,6.5,0.2,0.0,0.0,0.0,0.0,..,0.0,0.0,96,21
"2012","Ehitus",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.2,0.3,0.0,5.9,0.7,0.2,1.5,69.2,51.1,10.3,0.0,0.0,0.0,0.0,..,43.8,0.6,82,38
"2012","Hulgi- ja jaekaubandus",0.3,0.0,0.0,0.0,0.0,0.0,12.6,4.4,8.2,0.2,8.0,0.4,6.4,0.1,0.0,0.1,25.1,24.1,11.0,0.0,0.0,0.0,0.0,..,0.0,0.0,670,232
"2012","Maismaaveondus",0.4,0.0,0.1,0.0,0.0,0.1,0.9,0.8,0.1,0.0,0.1,0.4,1.5,3.0,0.0,0.1,269.1,263.4,2.5,0.0,0.0,0.0,0.0,..,0.0,0.1,51,30
"2012","Veetransport",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,3.7,0.1,0.0,0.0,0.0,0.0,..,0.0,0.2,4,0
