Aasta,Maakond,Kogus,Liik,Ühik_x,Ühikuhind,Ühik_y,Kogukulu
2017,Lääne-Viru maakond,0.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,0.0
2017,Põlva maakond,0.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,0.0
2017,Pärnu maakond,0.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,0.0
2017,Rapla maakond,0.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,0.0
2017,Saare maakond,0.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,0.0
2017,Tartu maakond,0.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,0.0
2017,..Tartu linn,0.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,0.0
2017,Valga maakond,0.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,0.0
2017,Viljandi maakond,0.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,0.0
2017,Võru maakond,0.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,0.0
2018,Kogu Eesti,3.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,1402.86
2018,Harju maakond,3.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,1402.86
2018,..Tallinn,2.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,935.24
2018,Hiiu maakond,0.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,0.0
2018,Ida-Viru maakond,0.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,0.0
2018,Jõgeva maakond,0.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,0.0
2018,Järva maakond,0.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,0.0
2018,Lääne maakond,0.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,0.0
2018,Lääne-Viru maakond,0.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,0.0
2018,Põlva maakond,0.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,0.0
2018,Pärnu maakond,0.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,0.0
2018,Rapla maakond,0.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,0.0
2018,Saare maakond,0.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,0.0
2018,Tartu maakond,0.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,0.0
2018,..Tartu linn,0.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,0.0
2018,Valga maakond,0.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,0.0
2018,Viljandi maakond,0.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,0.0
2018,Võru maakond,0.0,Raske kütteõli,tuhat tonni,467.62,eurot/t,0.0
2019,Kogu Eesti,2.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,954.38
2019,Harju maakond,2.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,954.38
2019,..Tallinn,2.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,954.38
2019,Hiiu maakond,0.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,0.0
2019,Ida-Viru maakond,0.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,0.0
2019,Jõgeva maakond,0.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,0.0
2019,Järva maakond,0.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,0.0
2019,Lääne maakond,0.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,0.0
2019,Lääne-Viru maakond,0.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,0.0
2019,Põlva maakond,0.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,0.0
2019,Pärnu maakond,0.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,0.0
2019,Rapla maakond,0.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,0.0
2019,Saare maakond,0.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,0.0
2019,Tartu maakond,0.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,0.0
2019,..Tartu linn,0.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,0.0
2019,Valga maakond,0.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,0.0
2019,Viljandi maakond,0.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,0.0
2019,Võru maakond,0.0,Raske kütteõli,tuhat tonni,477.19,eurot/t,0.0
2012,Kogu Eesti,67.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,32470.88
2012,Harju maakond,10.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,4846.4
2012,..Tallinn,2.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,969.28
2012,Hiiu maakond,0.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,0.0
2012,Ida-Viru maakond,24.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,11631.36
2012,Jõgeva maakond,1.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,484.64
2012,Järva maakond,6.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,2907.84
2012,Lääne maakond,2.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,969.28
2012,Lääne-Viru maakond,2.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,969.28
2012,Põlva maakond,1.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,484.64
2012,Pärnu maakond,2.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,969.28
2012,Rapla maakond,3.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,1453.92
2012,Saare maakond,4.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,1938.56
